Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Care instructions (product.metafields.shopify.care-instructions),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Headwear features (product.metafields.shopify.headwear-features),Neckline (product.metafields.shopify.neckline),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Swimwear features (product.metafields.shopify.swimwear-features),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
billie-cover-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/5f868b1e6ae6c77a.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
billie-cover-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/3fc9b7d8d8ddbc50.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
billie-cover-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/401273d1e03bcecc.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
billie-cover-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/66beec06b1e7eee5.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
billie-cover-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/05f935be6cca52b3.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bonnie,Bonnie,"<p>The Bonnie — a one-piece in premium Italian lycra finished with French custom-made jewellery. A luxury piece, made in Europe.</p>",Pecan Moon,Apparel & Accessories > Clothing > Dresses,Dresses,"Swimwear & Resortwear, drop-2-launch",false,Size,S,,,,,,,,BONNIE-S,0.0,shopify,3,deny,manual,225.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/051b227518b590e0.jpg,1,,false,,,,adults,,,,,,,,,,,,,,,female,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/051b227518b590e0.jpg,g,,,draft
bonnie,,,,,,,,Size,M,,,,,,,,BONNIE-M,0.0,shopify,4,deny,manual,225.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/aaf28c48515a7eef.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/051b227518b590e0.jpg,g,,,
bonnie,,,,,,,,Size,L,,,,,,,,BONNIE-L,0.0,shopify,2,deny,manual,225.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/b9f186c566dad8d1.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/051b227518b590e0.jpg,g,,,
bonnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/fbc0b0c39fb6fe6f.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bonnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/7ce3e545a543a90a.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bonnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/096a007c7d71164b.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bonnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/15c185e82b75a1ea.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bonnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/883b24fd3fa08b99.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bonnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/cb07f8739e94b78c.jpg,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bonnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/e3e57ab8c0d9fc63.jpg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bonnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/43afb7d77ac9286e.jpg,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bonnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/8ce07d3e18b7b048.jpg,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bonnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/92b4a3a675b66c9e.jpg,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bonnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/323db7076c17d164.jpg,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,Catalina Black Lace Caftan,"<p>The Catalina Black Lace Caftan in black / pearl / red / petrol. An easy, elegant throw-on layer. Perfect for beach and holiday and evening. One size.</p>",Pecan Moon,Apparel & Accessories > Clothing > Dresses,Dresses,"Swimwear & Resortwear, drop-2-launch",false,Color,Black,,,,,,,,CATALINA-BLACK-LACE-CAFTAN-BLACK-OS,0.0,shopify,3,deny,manual,425.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/ed7e1da423f2dfda.jpg,1,,false,,,,adults,,,,,,,,,,,,,,,female,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/ed7e1da423f2dfda.jpg,g,,,draft
catalina-black-lace-caftan,,,,,,,,Color,Pearl,,,,,,,,CATALINA-BLACK-LACE-CAFTAN-PEARL-OS,0.0,shopify,2,deny,manual,425.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/4c2fd9812ac3e101.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/488cad86fdbc05ba.jpg,g,,,
catalina-black-lace-caftan,,,,,,,,Color,Red,,,,,,,,CATALINA-BLACK-LACE-CAFTAN-RED-OS,0.0,shopify,1,deny,manual,425.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/e79dbf5261abb968.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/882bceed13d5eb5a.jpg,g,,,
catalina-black-lace-caftan,,,,,,,,Color,Petrol,,,,,,,,CATALINA-BLACK-LACE-CAFTAN-PETROL-OS,0.0,shopify,1,deny,manual,425.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/76b3e20d254d1f54.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/3f902c02649756b5.jpg,g,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/ab3a917670af0f25.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/72b37f6ca5ce7394.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/d1034d81132b76f3.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/1353521fe97dde97.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/639de9ec77c3fc0d.jpg,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/37a41a095cf6c31a.jpg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/224c54f9c8123f14.jpg,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/3f902c02649756b5.jpg,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/cad04a4471eb6b5f.jpg,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/10dc660b901363a2.jpg,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/882bceed13d5eb5a.jpg,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/efc74909215adcc4.jpg,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/ccf4f1c892381f5b.jpg,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/15a96e856aa9cdfc.jpg,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/488cad86fdbc05ba.jpg,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/fca9a5089730b32a.jpg,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/d585fb9b1b2dc122.jpg,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalina-black-lace-caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/a490323bff5e2e12.jpg,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
donna,Donna,<p>The Donna dress in black. A statement piece for day or evening. Perfect for evening and party. Available in sizes S and M.</p>,Pecan Moon,Apparel & Accessories > Clothing > Dresses,Dresses,"Swimwear & Resortwear, drop-2-launch",false,Size,S,,,,,,,,DONNA-BLACK-S,0.0,shopify,4,deny,manual,365.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/2f3db5fa9532f2dd.jpg,1,,false,,,,adults,,,,,,,,,,,,,,,female,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/2f3db5fa9532f2dd.jpg,g,,,draft
donna,,,,,,,,Size,M,,,,,,,,DONNA-BLACK-M,0.0,shopify,1,deny,manual,365.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/c429b0f7aa8ec8ae.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/2f3db5fa9532f2dd.jpg,g,,,
donna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/788d490946e8070b.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
donna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/bfff72d790a8c0f2.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freedom,Freedom,"<p>Easy-to-wear everyday piece, perfect for yoga and sound healing rituals. Made from special organic cotton. Color: White Materials: 100% Natural Cotton</p>",Pecan Moon,Apparel & Accessories > Clothing > Dresses,Dresses,"Swimwear & Resortwear, drop-2-launch",false,Size,One Size,,,,,,,,FREEDOM-WHITE-OS,0.0,shopify,8,deny,manual,225.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/2aac0fc2341b83d3.jpg,1,,false,,,,adults,,,,,,,,,,,,,,,female,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/2aac0fc2341b83d3.jpg,g,,,draft
freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/7103f2b27d3f101a.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/796075a826fcdc6c.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/76bf5639a954dcd6.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/dd3d4af0d9b06787.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
